id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,date_run,yelp_business_status,_merge,formatted_address,business_status
VOPdG8llLPaga9iJxXcMuQ,the-pink-door-seattle-4,The Pink Door,https://s3-media4.fl.yelpcdn.com/bphoto/xnHGKOvOAM2Okpgky4bkZw/o.jpg,FALSE,https://www.yelp.com/biz/the-pink-door-seattle-4?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,6021,4.5,$$,12064433241,(206) 443-3241,612.8659782,47.61028,-122.3425,1919 Post Alley,,,Seattle,98101,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"1919 Post Alley, Seattle, WA 98101, United States",OPERATIONAL
Mh5o8RtQNNUxhoJe6BxVkg,purple-café-and-wine-bar-seattle-3,Purple Café and Wine Bar,https://s3-media3.fl.yelpcdn.com/bphoto/21QxhWyYxnlHjOBKUysvYA/o.jpg,FALSE,https://www.yelp.com/biz/purple-caf%C3%A9-and-wine-bar-seattle-3?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,2668,4,$$$,12068292280,(206) 829-2280,8.518866861,47.6079619,-122.3350823,1225 4th Ave,,,Seattle,98101,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"1225 4th Ave, Seattle, WA 98101, United States",OPERATIONAL
UzL8_jvtznfsFDprG-O1UA,biang-biang-noodles-seattle-2,Biang Biang Noodles,https://s3-media1.fl.yelpcdn.com/bphoto/JYa1Xrx5hW73XO5E1ZjKHQ/o.jpg,FALSE,https://www.yelp.com/biz/biang-biang-noodles-seattle-2?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,572,4.5,$$,12068098999,(206) 809-8999,1054.123476,47.613937,-122.324239,601 E Pike St,Unit 100,,Seattle,98122,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"601 E Pike St Unit 100, Seattle, WA 98122, United States",OPERATIONAL
xqH038QcquJEMm5LIZHd5w,elliotts-oyster-house-seattle-2,Elliott's Oyster House,https://s3-media1.fl.yelpcdn.com/bphoto/wQU5eAejJRQGwYjwiFMQzQ/o.jpg,FALSE,https://www.yelp.com/biz/elliotts-oyster-house-seattle-2?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,3927,4,$$$,12066234340,(206) 623-4340,474.46505,47.60547325,-122.3402526,1201 Alaskan Way,,Pier 56,Seattle,98101,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"1201 Alaskan Way, Pier 56, Seattle, WA 98101, United States",OPERATIONAL
ps9ZlLoLYTfK87IjW9REfg,radiator-whiskey-seattle,Radiator Whiskey,https://s3-media2.fl.yelpcdn.com/bphoto/2Z38xi6tz7ErO2eXl22d8g/o.jpg,FALSE,https://www.yelp.com/biz/radiator-whiskey-seattle?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,1336,4.5,$$,12064674268,(206) 467-4268,420.3094095,47.608949,-122.340599,94 Pike St,Ste 30,,Seattle,98101,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"94 Pike St Ste 30, Seattle, WA 98101, United States",OPERATIONAL
jAgEaQUQMvGC2PsxYjBWOQ,katsu-ya-seattle-seattle,Katsu-ya Seattle,https://s3-media3.fl.yelpcdn.com/bphoto/TepKrkxL8COAsIQAgRrasQ/o.jpg,FALSE,https://www.yelp.com/biz/katsu-ya-seattle-seattle?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,171,4.5,$$,12065800080,(206) 580-0080,1276.810801,47.619252,-122.338099,122 Westlake Ave N,,,Seattle,98109,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"122 Westlake Ave N, Seattle, WA 98109, United States",OPERATIONAL
Lw7NmZ3j-WEye97ywEmkXQ,vons-1000-spirits-seattle-4,Von's 1000 Spirits,https://s3-media1.fl.yelpcdn.com/bphoto/f-LFemqbttbcFHibioh9zw/o.jpg,FALSE,https://www.yelp.com/biz/vons-1000-spirits-seattle-4?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,2285,4.5,$$,12066218667,(206) 621-8667,287.0571329,47.606565,-122.338337,1225 1st Ave,,,Seattle,98101,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"1225 1st Ave, Seattle, WA 98101, United States",OPERATIONAL
qERtBPTw_lLv0fkxw3cRPw,nue-seattle,Nue,https://s3-media2.fl.yelpcdn.com/bphoto/ttg2QEafsumEpF0wstc5wQ/o.jpg,FALSE,https://www.yelp.com/biz/nue-seattle?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,1241,4,$$,12062570312,(206) 257-0312,1723.182901,47.61483,-122.3146,1519 14th Ave,,,Seattle,98122,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"1519 14th Ave, Seattle, WA 98122, United States",OPERATIONAL
r2qcG59sAqqptnwL4aJGhg,toulouse-petit-kitchen-and-lounge-seattle,Toulouse Petit Kitchen & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/UmEDw1vIvHMNagxlZspJ9A/o.jpg,FALSE,https://www.yelp.com/biz/toulouse-petit-kitchen-and-lounge-seattle?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,4602,4,$$,12064329069,(206) 432-9069,2492.966423,47.624851,-122.357127,601 Queen Anne Ave N,,,Seattle,98109,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"601 Queen Anne Ave N, Seattle, WA 98109, United States",OPERATIONAL
663yP3mdqau3iMUVblMaAw,ishoni-yakiniku-seattle,Ishoni Yakiniku,https://s3-media4.fl.yelpcdn.com/bphoto/IJXjRzMk68Qcs7J0pag2mg/o.jpg,FALSE,https://www.yelp.com/biz/ishoni-yakiniku-seattle?adjust_creative=5R8Hi_1HdIU4dWhClK4tVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5R8Hi_1HdIU4dWhClK4tVA,139,4.5,,14254550898,(425) 455-0898,2121.216446,47.62461,-122.32117,611 Broadway E,,,Seattle,98102,United States,WA,2022-08-16 00:00:00,OPERATIONAL,both,"611 Broadway E, Seattle, WA 98102, United States",OPERATIONAL
